case,category,concurrency,run_index,wall_s,completion_tokens,total_tokens,aggregate_completion_tok_per_s,aggregate_total_tok_per_s,contains_target_rate_pct
early_anchor_long_tail,anchor_recall,1,1,3.3685,96,562,28.4993,166.8398,100.0
early_anchor_long_tail,anchor_recall,2,1,5.4868,192,1124,34.9931,204.8553,100.0
early_anchor_long_tail,anchor_recall,4,1,5.5491,384,2248,69.2004,405.1107,100.0
middle_anchor_detour,anchor_recall,1,1,4.4346,128,488,28.8639,110.0437,100.0
middle_anchor_detour,anchor_recall,2,1,7.8499,256,976,32.6119,124.3328,100.0
middle_anchor_detour,anchor_recall,4,1,7.9907,512,1952,64.0745,244.284,100.0
late_anchor_control,late_control,1,1,3.3168,96,337,28.9436,101.604,100.0
late_anchor_control,late_control,2,1,5.5235,192,674,34.7606,122.0241,100.0
late_anchor_control,late_control,4,1,5.4773,384,1348,70.1075,246.1067,100.0
decoy_collision,confusable_recall,1,1,4.5966,128,408,27.8467,88.7613,100.0
decoy_collision,confusable_recall,2,1,7.7043,256,816,33.2282,105.9149,100.0
decoy_collision,confusable_recall,4,1,7.626,512,1632,67.1387,214.0047,100.0
routing_table,structured_lookup,1,1,4.384,128,406,29.1971,92.6095,100.0
routing_table,structured_lookup,2,1,6.0153,256,812,42.5581,134.9891,100.0
routing_table,structured_lookup,4,1,8.3944,512,1624,60.993,193.4623,100.0
structured_records,structured_lookup,1,1,5.5126,160,450,29.0244,81.6312,0.0
structured_records,structured_lookup,2,1,9.242,320,900,34.6245,97.3815,0.0
structured_records,structured_lookup,4,1,10.4205,640,1800,61.4174,172.7364,50.0
instruction_persistence,instruction_retention,1,1,4.5883,128,605,27.897,131.8571,100.0
instruction_persistence,instruction_retention,2,1,8.2108,256,1210,31.1784,147.3669,100.0
instruction_persistence,instruction_retention,4,1,8.4679,512,2420,60.4636,285.7851,100.0
multi_hop_bridge,multi_hop,1,1,5.4806,160,412,29.1939,75.1743,100.0
multi_hop_bridge,multi_hop,2,1,7.3997,320,824,43.245,111.3559,100.0
multi_hop_bridge,multi_hop,4,1,9.6902,640,1648,66.0461,170.0687,100.0
payload_dense,dense_noise,1,1,6.8876,192,655,27.8762,95.0984,100.0
payload_dense,dense_noise,2,1,10.7876,384,1310,35.5964,121.4357,100.0
payload_dense,dense_noise,4,1,11.1843,768,2620,68.6677,234.2569,100.0
long_generation_systems,long_generation,1,1,13.6134,384,553,28.2075,40.6217,0.0
long_generation_systems,long_generation,2,1,23.8943,768,1106,32.1416,46.2872,0.0
long_generation_systems,long_generation,4,1,25.1926,1536,2212,60.9703,87.8036,0.0
