case,category,concurrency,run_index,wall_s,completion_tokens,total_tokens,aggregate_completion_tok_per_s,aggregate_total_tok_per_s,contains_target_rate_pct
early_anchor_long_tail,anchor_recall,1,1,3.3925,96,562,28.2977,165.6595,100.0
early_anchor_long_tail,anchor_recall,2,1,5.5909,192,1124,34.3415,201.041,100.0
early_anchor_long_tail,anchor_recall,4,1,5.7411,384,2248,66.8861,391.5626,100.0
middle_anchor_detour,anchor_recall,1,1,4.5904,128,488,27.8843,106.3088,100.0
middle_anchor_detour,anchor_recall,2,1,7.8351,256,976,32.6735,124.5677,100.0
middle_anchor_detour,anchor_recall,4,1,8.2046,512,1952,62.404,237.9153,100.0
late_anchor_control,late_control,1,1,3.3659,96,337,28.5213,100.1218,100.0
late_anchor_control,late_control,2,1,5.4271,192,674,35.378,124.1916,100.0
late_anchor_control,late_control,4,1,5.759,384,1348,66.6782,234.0684,100.0
decoy_collision,confusable_recall,1,1,4.4763,128,408,28.595,91.1467,100.0
decoy_collision,confusable_recall,2,1,7.7925,256,816,32.8521,104.7161,100.0
decoy_collision,confusable_recall,4,1,8.4867,512,1632,60.3297,192.3009,100.0
routing_table,structured_lookup,1,1,4.5371,128,406,28.2119,89.4845,100.0
routing_table,structured_lookup,2,1,7.9201,256,812,32.3228,102.524,100.0
routing_table,structured_lookup,4,1,8.4846,512,1624,60.3446,191.4056,100.0
structured_records,structured_lookup,1,1,5.7302,160,450,27.9222,78.5313,0.0
structured_records,structured_lookup,2,1,9.0325,320,900,35.4276,99.6402,0.0
structured_records,structured_lookup,4,1,11.0536,640,1800,57.8997,162.8429,25.0
instruction_persistence,instruction_retention,1,1,4.7207,128,605,27.1146,128.159,100.0
instruction_persistence,instruction_retention,2,1,8.4923,256,1210,30.145,142.482,100.0
instruction_persistence,instruction_retention,4,1,8.7832,512,2420,58.2931,275.526,100.0
multi_hop_bridge,multi_hop,1,1,5.8159,160,412,27.5108,70.8403,100.0
multi_hop_bridge,multi_hop,2,1,9.7858,320,824,32.7004,84.2036,100.0
multi_hop_bridge,multi_hop,4,1,10.3485,640,1648,61.8447,159.2501,100.0
payload_dense,dense_noise,1,1,7.1618,192,655,26.8089,91.4575,100.0
payload_dense,dense_noise,2,1,11.5232,384,1310,33.3241,113.6837,100.0
payload_dense,dense_noise,4,1,11.9962,768,2620,64.0203,218.4025,100.0
long_generation_systems,long_generation,1,1,13.5753,384,553,28.2867,40.7357,0.0
long_generation_systems,long_generation,2,1,20.0948,768,1106,38.2188,55.0391,0.0
long_generation_systems,long_generation,4,1,26.6613,1536,2212,57.6116,82.9667,0.0
