case,category,concurrency,run_index,wall_s,completion_tokens,total_tokens,aggregate_completion_tok_per_s,aggregate_total_tok_per_s,contains_target_rate_pct
early_anchor_long_tail,anchor_recall,1,1,3.2928,96,562,29.1545,170.6754,100.0
early_anchor_long_tail,anchor_recall,2,1,5.5922,192,1124,34.3335,200.9942,100.0
early_anchor_long_tail,anchor_recall,4,1,5.5166,384,2248,69.6081,407.4974,100.0
middle_anchor_detour,anchor_recall,1,1,4.5654,128,488,28.037,106.891,100.0
middle_anchor_detour,anchor_recall,2,1,7.8264,256,976,32.7098,124.7061,100.0
middle_anchor_detour,anchor_recall,4,1,7.9973,512,1952,64.0216,244.0824,100.0
late_anchor_control,late_control,1,1,3.3076,96,337,29.0241,101.8866,100.0
late_anchor_control,late_control,2,1,5.5746,192,674,34.4419,120.9055,100.0
late_anchor_control,late_control,4,1,5.5323,384,1348,69.4106,243.66,100.0
decoy_collision,confusable_recall,1,1,4.5727,128,408,27.9922,89.2252,100.0
decoy_collision,confusable_recall,2,1,7.7468,256,816,33.0459,105.3338,100.0
decoy_collision,confusable_recall,4,1,7.8043,512,1632,65.6049,209.1155,100.0
routing_table,structured_lookup,1,1,4.5417,128,406,28.1833,89.3938,100.0
routing_table,structured_lookup,2,1,5.9831,256,812,42.7872,135.7156,100.0
routing_table,structured_lookup,4,1,7.9613,512,1624,64.3111,203.9868,100.0
structured_records,structured_lookup,1,1,5.5891,160,450,28.6271,80.5139,0.0
structured_records,structured_lookup,2,1,9.2927,320,900,34.4356,96.8502,0.0
structured_records,structured_lookup,4,1,10.4177,640,1800,61.4339,172.7829,25.0
instruction_persistence,instruction_retention,1,1,4.9059,128,605,26.091,123.3209,100.0
instruction_persistence,instruction_retention,2,1,8.2821,256,1210,30.91,146.0982,100.0
instruction_persistence,instruction_retention,4,1,8.7319,512,2420,58.6356,277.1447,100.0
multi_hop_bridge,multi_hop,1,1,5.5881,160,412,28.6323,73.7281,100.0
multi_hop_bridge,multi_hop,2,1,9.847,320,824,32.4972,83.6803,100.0
multi_hop_bridge,multi_hop,4,1,9.9867,640,1648,64.0852,165.0195,100.0
payload_dense,dense_noise,1,1,7.0558,192,655,27.2117,92.8314,100.0
payload_dense,dense_noise,2,1,11.5908,384,1310,33.1297,113.0207,100.0
payload_dense,dense_noise,4,1,12.1545,768,2620,63.1865,215.558,100.0
long_generation_systems,long_generation,1,1,14.0022,384,553,27.4243,39.4938,0.0
long_generation_systems,long_generation,2,1,19.524,768,1106,39.3362,56.6482,0.0
long_generation_systems,long_generation,4,1,26.3331,1536,2212,58.3296,84.0007,0.0
